item,price,location
egg,12,costco
beef,15,costco
apple,79,super store
chips,33,walmart
apple,9,t&t
chips,69,walmart
milk,23,walmart
chips,2,price smart
chips,74,super store
chips,11,t&t
chicken,90,t&t
apple,10,t&t
apple,45,walmart
chips,96,t&t
chicken,73,shoppers
milk,62,shoppers
beef,67,super store
apple,3,super store
banana,12,walmart
chips,77,super store
apple,61,price smart
egg,42,shoppers
banana,15,shoppers
beef,83,walmart
egg,41,t&t
egg,6,price smart
milk,42,costco
apple,39,shoppers
chicken,42,super store
chicken,95,price smart
apple,69,t&t
banana,63,super store
apple,85,walmart
chicken,46,t&t
banana,29,walmart
egg,93,shoppers
banana,60,shoppers
chips,45,walmart
apple,33,t&t
beef,97,shoppers
egg,1,walmart
apple,40,walmart
apple,34,walmart
apple,33,shoppers
banana,49,price smart
chicken,95,shoppers
apple,59,super store
chicken,84,shoppers
apple,57,price smart
chips,61,price smart
chips,93,costco
banana,4,price smart
apple,88,walmart
banana,71,walmart
chips,64,super store
banana,41,t&t
beef,2,shoppers
chips,91,walmart
milk,86,shoppers
milk,75,t&t
banana,49,costco
chips,59,shoppers
beef,79,shoppers
chicken,73,walmart
milk,72,walmart
beef,74,price smart
beef,47,shoppers
milk,70,price smart
chips,80,super store
egg,19,super store
egg,99,price smart
egg,42,walmart
chips,93,price smart
banana,2,costco
egg,98,shoppers
beef,4,super store
chicken,97,super store
milk,84,walmart
banana,20,walmart
egg,99,walmart
chicken,34,shoppers
banana,0,walmart
chips,28,costco
banana,49,price smart
chips,6,price smart
milk,74,t&t
apple,91,costco
egg,4,super store
chips,91,t&t
beef,66,price smart
chicken,80,t&t
apple,27,walmart
milk,57,super store
milk,64,walmart
milk,22,walmart
chicken,3,costco
beef,33,t&t
beef,23,t&t
apple,75,price smart
banana,77,price smart
milk,99,t&t
chicken,58,shoppers
